ARTIST,SONG,MF CODE,TRACK
98 Degrees,Because Of You,SF134,08
98 Degrees,Give Me Just One Night,TT032,04
98 Degrees,Hardest Thing,TT032,05
98 Degrees,I Do (Cherish You),TT032,06
98 Degrees,Invisible Man,SC8389,03
98 Degrees,My Everything,TT035,11
98 Degrees,This Gift,SC8593,02
98 Degrees,True To Your Heart,TT032,15
98 Degrees,Way You Want Me To,PHM0109,04
A B C,All Of My Heart,SF082,03
A B C,Be Near Me,SC8540,04
A B C,Look Of Love,SF111,02
A B C,Poison Arrow,SFMW803,09
A B C,When Smokey Sings,SFMW801,11
A B S,7 Ways,SF211,10
A B S,Give Me What You Got,EZH014,05
A B S,Little Miss Perfect,SF209,05
A B S,Stop Sign,KK020,11
A B S,What You Got,SF195,17
A F I,Love Like Winter,PHM0612,08
A F I,Miss Murder,SC8993,13
A Ha,Analogue,SF240,02
A Ha,Cry Wolf,JV0036,07
A Ha,Hunting High And Low,SFMW820,15
A Ha,Living Daylights,SC8468,10
A Ha,Sun Always Shines On Tv,SFMW817,07
A Ha,Take On Me,SF037,01
A Ha,Touchy,SFMW888,07
A Ha,You Are The One,JVC34,05
A R Rahman And The Pussycat D,Jai Ho! (You Are My Destiny),EKI36,09
A T B,Killer,SF164,03
A T C,Around The World,TT027,02
A Teens,Around The World,SF185,13
A Teens,Bouncing Off The Ceiling (Upside Do,TT062,03
A Teens,Land Of Make Believe,SF188,12
A Teens,Mama Mia,SF155,14
A Tribe Called Quest,Can I Kick It,STTW3037,01
A1,Caught In The Middle,SF187,15
A1,Every Time,SF155,05
A1,Like A Rose,SF161,06
A1,Make It Good,SF192,11
A1,No More,SF175,10
A1,Nothing,SF190,14
A1,Ready Or Not,SF187,09
A1,Same Old Brand New You,SFTP06,08
A1,Summertime Of Our Lives,SF148,05
A1,Take On Me,SFTP06,13
A3,Woke Up This Morning,SGB0038,19
Aaliyah,At Your Best (You Are Love),SC8374,02
Aaliyah,Come Over,PHM0309,08
Aaliyah,I Don't Wanna,SF173,07
Aaliyah,If Your Girl Only Knew,SC8320,15
Aaliyah,Journey To The Past,SC8476,08
Aaliyah,More Than A Woman,SF184,15
Aaliyah,One I Gave My Heart To,SC8422,07
Aaliyah,Rock The Boat,SC8726,05
